Metabolite,F_statistic,p_value,p_adjusted,Significant,VIP_Score
2-Ketobutyric_acid,0.3070739358485983,0.8199685127369173,0.857375835398273,False,0.17491990572211713
5-Guanidino-3-methyl-2-oxopentanoate,0.30115357813418187,0.824170279208707,0.8601995810320385,False,0.27947847981061585
"(1S,2R,4S)-(-)-Bornyl_acetate",0.26645930719231126,0.8487614440511686,0.8832854696316706,False,0.34361141699859105
Isovaleric_acid,0.26559533167437954,0.8493722404311528,0.8832854696316706,False,0.3662921579024781
Indoxyl,0.22791736752372319,0.8758483552058843,0.9091686730669778,False,0.17753567074857798
Imidazolelactic_acid,0.2213959860376997,0.8803869059551721,0.9108921296755934,False,0.15613218097235276
Succinic_acid_semialdehyde,0.22096245128808323,0.8806880276444655,0.9108921296755934,False,0.3242209025422873
D-Glucose,0.2156724348518343,0.8843559298727673,0.9130377438145869,False,0.0510701671910595
Tropate,0.20139125763265084,0.8941923178271086,0.9215327304225418,False,0.26568113213620037
L-Tryptophan,0.19282649179804828,0.9000386409055144,0.9258925336424771,False,0.10196691711618444
2-Methylbenzoic_acid,0.18215065589641183,0.9072613071266488,0.9316500519418812,False,0.13803798788619015
(+)-7-Isojasmonic_acid,0.17862622204008044,0.9096283273049388,0.9324097165397673,False,0.28077522805833
D-Cathinone,0.17075124831355262,0.9148828782659515,0.9361212307971254,False,0.1389330214772775
Isophorone,0.14627200204968674,0.9308649474481012,0.9487950596186133,False,0.1689443647476879
"D-Gulono-1,4-lactone",0.14574754593245917,0.9312007245565143,0.9487950596186133,False,0.200644678333292
Exemestane,0.1441264245897912,0.932236681614798,0.9487950596186133,False,0.2514727160789817
Methylmalonic_acid,0.13516052964730518,0.9379107246158417,0.9528773851150306,False,0.061466470684696045
L-Allothreonine,0.12530940556578166,0.9440276807105806,0.9573944443312614,False,0.22576551242345266
2-Isopropylmalic_acid,0.09999045988484352,0.9590802471745453,0.9709416636590361,False,0.19743019583977123
(6Z)-Octadecenoic_acid,0.0968475176859015,0.9608709812531597,0.9710389281447276,False,0.1948440927752326
(S)-Abscisic_acid,0.09117062280961963,0.9640558360093097,0.9725422430164339,False,0.12061706566411141
D-Xylitol,0.08610644896916225,0.9668399422233003,0.9736367080737277,False,0.05677997594223042
gamma-Aminobutyric_acid,0.07913431698375863,0.9705784742503609,0.9756867820095733,False,0.2341576705181219
"Fructose_1,6-bisphosphate",0.06458082346153582,0.9779872891072446,0.9814128137626115,False,0.12747508705246058
13-OxoODE,0.052330542959127466,0.983742251722699,0.9854620808341024,False,0.16775669638371998
Normetanephrine,0.011972786804046974,0.9981456806858906,0.9981456806858906,False,0.047883201730742266
