Metabolite,F_statistic,p_value,p_adjusted,Significant,VIP_Score
1-Hexadecanol,9.292388409522939,0.00047135738286234935,0.0014921976816581557,True,1.4130713553719902
Dopamine,8.950647524087746,0.0005813235235109179,0.0018302108734711865,True,1.259442159107945
N(omega)-Nitro-L-arginine_methyl_ester,8.768752133336827,0.0006511208023730345,0.0020387552992336,True,1.3547074602359481
L-Alanyl-gamma-D-glutamyl-L-lysine,8.646881146842322,0.0007030119996446702,0.002189271064110848,True,1.2732497879308784
"(3S,5S)-3,5-Diaminohexanoate",8.626388262582498,0.0007121753792102227,0.0022058188772295004,True,1.1076596460087518
2-Hydroxybutyric_acid,8.56475336469292,0.0007405347224254137,0.0022813247094073228,True,1.2871356028319094
Acetylcholine_,8.532983477595574,0.0007556348928734925,0.0023153946182701136,True,1.2892483266454826
N-Acetylleucine,8.454334264311372,0.0007944909469653933,0.0024215069819743104,True,1.389348703958563
D-2-Hydroxyglutaric_acid,8.415041557884386,0.0008147203878008919,0.002470025302697942,True,1.2788398295940062
1-Methylnicotinamide,8.346984985315343,0.0008511093086598667,0.002566766494011072,True,1.128555468442142
N2-Succinyl-L-glutamic_acid_5-semialdehyde,8.26208468053094,0.0008990265516737034,0.0026970796550211105,True,1.2535878864891667
D-Psicose,8.077244587650178,0.0010139189727342806,0.0030259144342538687,True,0.4516214732839364
Tyrosine_methylester,7.876918112647673,0.0011569325541259062,0.0034348308472235455,True,1.288757728977203
IPA_imine,7.787640683057697,0.0012276791490656751,0.0036260832598692364,True,1.2026921322339181
Tetrahydroharmine,7.772102272477508,0.00124047052082784,0.0036450749150479605,True,1.1685169838678549
Tetrahydrodipicolinate,7.7623824611590155,0.001248546255038364,0.0036500867558009313,True,0.4141363626357952
Acetylphosphate,7.617583510664151,0.001375939453866281,0.004002098005408015,True,0.5466935803186536
"9,10-DHOME",7.552970332908228,0.0014373305198867189,0.0041595474136115656,True,1.1939528469725413
Fisetin,7.499468992991316,0.001490440516232574,0.0042915699286495725,True,0.9359249742864648
N-Acetyl-L-aspartic_acid,7.46055500439211,0.0015304213822296662,0.004384657260087994,True,1.2837717977473306
cis-4-Hydroxy-D-proline,7.440796745182245,0.001551170383314005,0.004421993182283208,True,1.027356382561054
"3,4-Dihydroxybenzaldehyde",7.401353316724719,0.0015935205092115138,0.004520233919694047,True,1.382862991551495
Pyrimidodiazepine,7.331515897331914,0.0016716489774005923,0.004718496867244036,True,1.0503975803332393
Dihydrouracil,7.307441711627168,0.0016995471678565082,0.004773728074420487,True,1.3367081789142423
Caffeate,7.287721118629808,0.0017227808079173694,0.004815382453349525,True,1.2399694259397478
7-Methylguanine,7.209135225921509,0.0018188868255124917,0.005010683418358932,True,0.4465447269531182
Linatine,7.214008295876795,0.0018127593968806275,0.005010683418358932,True,0.7127535869798772
Hippuric_acid,7.210568348663476,0.0018170824539676285,0.005010683418358932,True,1.164697417332378
2-Heptanone,7.053917176469441,0.0020264543649348176,0.005555781584247132,True,1.1182538821845893
HC-toxin,6.998184981581216,0.0021072098792443866,0.005749672670509683,True,1.3585475790168884
Mefloquine,6.981303325077827,0.002132362531054038,0.005773728770792761,True,1.0377357200460984
L-Glutamine,6.978760996603922,0.0021361788820385085,0.005773728770792761,True,1.2892515141653653
7-Methylxanthosine,6.880180049856645,0.0022900949758171583,0.006160678033536299,True,1.2371566169285326
Methylisoeugenol,6.693363033502719,0.002616223774520698,0.007005122536450281,True,1.2908845744452278
Phenyl_acetate,6.677665430029315,0.0026458624446714374,0.00705153107347318,True,1.2616802134563827
Citrulline,6.60664904593916,0.002784625496880477,0.007386992637557932,True,1.3488274496083499
2-Keto-6-aminocaproate,6.594066448255269,0.0028100332208062934,0.0074200416383502586,True,1.212132946067393
3-Amino-4-hydroxybenzoate,6.570279968723056,0.0028587615870978465,0.007514084355078285,True,1.1704163126269744
Prunasin,6.402397941997164,0.0032301888460036033,0.008451589994338194,True,1.020512289109448
Isochorismate,6.211355248727319,0.0037184318472422225,0.009684824765771788,True,0.33830643662871535
(S)-1-Phenylethanol,6.123349504379059,0.003970081282290597,0.010293468664038515,True,0.5692418705657228
D-Galactose,6.084740976616916,0.004086317997822681,0.010547118075461244,True,1.249624406541677
N2-gamma-Glutamylglutamine,5.9217003836590525,0.0046199738005933315,0.01187105375668152,True,0.6081514210460288
Adipate_semialdehyde,5.694163286226457,0.005496515027650593,0.014060281744838348,True,1.158597496682361
Indolelactic_acid,5.5010891317621535,0.006384015854741942,0.016257960376742812,True,1.2833387809410985
D-beta-Phenylalanine,5.442659244740757,0.006682652383947219,0.016943185026556444,True,0.2845043154422488
Nicotinic_acid,5.40576721095808,0.006879060791461134,0.017341825625180496,True,0.9544806274211114
Isopimaric_acid,5.401826281510804,0.006900412290647737,0.017341825625180496,True,1.1992316435283392
Homocitrulline,5.393352054620097,0.006946570632065231,0.017381593764949244,True,0.8961193123857932
Betaine,5.35706025544166,0.007148105026228034,0.017808105130559405,True,0.9124224130437436
3-Hydroxyanthranilic_acid,5.195147248075956,0.008128548418937766,0.02016302270152095,True,1.1335378718986544
Prostaglandin_J2,5.128947206455476,0.008570992937842442,0.021168874799067754,True,0.6871736260117758
N-Acetylornithine,5.1181927922105395,0.008645324142899083,0.021260818600348386,True,1.1741228579724279
(5-L-Glutamyl)-L-glutamate,5.112816005814974,0.008682750845647439,0.02126160783998283,True,1.0679576377962674
D-allo-Isoleucine,5.033149218918306,0.009258557814715953,0.02257512182056273,True,0.411539592437488
Hypoxanthine,5.019250928584217,0.009363221991529792,0.022733585598078688,True,1.2287808863476313
Phenylpyruvic_acid,4.994961628605712,0.009549256502258774,0.02308744293584083,True,1.029354284025937
D-Lysopine,4.923514817757523,0.010120296785169635,0.024365252344126898,True,1.2479166357962639
3-Benzylmalic_acid,4.9017439919215615,0.010301639367686424,0.02469807262629423,True,0.21875707325082713
Oxoglutaric_acid,4.845699134107873,0.010785016142780568,0.02574922604088861,True,1.241718787918091
Spermidine,4.790733518010078,0.011283248131478484,0.02682697584787208,True,1.1847991103542896
2-Hydroxycinnamic_acid,4.78534051123475,0.01133347095664165,0.02683503660394903,True,0.29628921398447444
L-Serine,4.7638709405543755,0.011535842773148102,0.027201802094707253,True,0.9085288298931243
13-L-Hydroperoxylinoleic_acid,4.710315400075291,0.012058069069508699,0.028316694987001987,True,1.1918957758210023
Capric_acid,4.665328596148562,0.012516719029631987,0.029273795934608687,True,0.7540888997055248
